"TestCase","Key Word","Argument 1","Argument 2"
,"loadSahi","library.sah"

"Crear Clientes","[Documentation]","My testcase description. Modify as needed"
,"Login","jhonatan.tirado1","ESwaEBIQGwoR"
,"CustomerSave","Paolo 0","Guerrero","21234582"
,"CustomerSave","Paolo 1","Guerrero","21234582"
,"CustomerSave","Paolo 2","Guerrero","21234582"
,"CustomerSave","Paolo 3","Guerrero","21234582"
,"CustomerSave","Paolo 4","Guerrero","21234582"
,"CustomerSave","Paolo 5","Guerrero","21234582"
,"CustomerSave","Paolo 6","Guerrero","21234582"
,"CustomerSave","Paolo 7","Guerrero","21234582"
,"CustomerSave","Paolo 8","Guerrero","21234582"
,"CustomerSave","Paolo 9","Guerrero","21234582"
,"Logout"
